Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Katainen, Jyrki, pääministeri, Espoo
Suomen Valkoisen Ruusun I luokan komentajamerkki / Kommendörstecknet av I klass av Finlands Vita Ros orden 
Alahuhta, Matti Juhani, toimitusjohtaja, Kauniainen
Johansson, Ole Henrik, hallituksen puheenjohtaja, Kauniainen
Store, Jan Birger, ambassadör, Lahtis
Suomen Leijonan I luokan komentajamerkki / Kommendörstecknet av I klass av Finlands Lejons orden 
Astola, Tiina Maija-Sisko, kansliapäällikkö, Helsinki
Suomen Valkoisen Ruusun komentajamerkki / Kommendörstecknet av Finlands Vita Ros orden 
Lappi-Seppälä, Sampo Tapio, ylijohtaja, Helsinki
Mustajoki, Arto Samuel, professori, Orivesi
Pellonpää, Matti Paavo, hallintoneuvos, Espoo
Rautio, Ilkka Jussi, oikeusneuvos, Kerava
Telivuo, Irma Liisa Kristiina, hallintoneuvos, Helsinki
Urpilainen, Jutta Pauliina, valtiovarainministeri, Kokkola
Vartiainen, Perttu Tapio, yliopiston rehtori, Joensuu
Suomen Leijonan komentajamerkki / Kommendörstecknet av Finlands Lejons orden 
Ahlström, Trygve Robin, hallituksen puheenjohtaja, Helsinki
Anttonen, Matti Kalervo, alivaltiosihteeri, Helsinki
Donner, Jörn Johan, professor, Helsingfors
Hakala, Terhi Katriina, suurlähettiläs, Espoo
Hautamäki, Jarkko Juhana, professori, Helsinki
Hernesniemi, Juha Antero, ylilääkäri, Kuopio
Hirvonen, Tauno Juhani, käräjäoikeuden laamanni, Yläne
Holli, Kaija Anneli, rehtori, Kangasala
Hollmén, Harri Juhani, toimitusjohtaja, Helsinki
Huiskonen, Jukka Veikko Ilmari, varatuomari, Mikkeli
Hyvönen, Pekka Juhani, suurlähettiläs, Helsinki Strasbourg
Ihamäki, Timo Heikki Juhani, lääketieteen ja kirurgian tohtori, Heinola
Ikonen, Raimo Olavi, osastopäällikkö, Helsinki
Jalava, Ritva Maarit Kristiina, suurlähettiläs, Espoo
Jokinen, Juhani, pääjohtaja, Helsinki
Kaivosoja, Riitta Liisa, ylijohtaja, Helsinki
Kangas, Jyrki Juhani, pääjohtaja, Hämeenlinna
Kartimo, Leena Marketta, käräjäoikeuden laamanni, Espoo
Kavonius, Veijo Kalervo, aluekehitysjohtaja, Helsinki
Keltikangas-Järvinen, Anna Liisa, professori, Espoo
Kivikoski, Markku Antero, rehtori, Pirkkala
Kosonen, Mikko Heikki Michael, yliasiamies, Espoo
Krause, Anna Outi Inkeri, dekaani, Espoo
Kuhlefelt, Maj-Len Monika, hovioikeudenlaamanni, Karjaa
Laakkonen, Yrjö Ilmari, hallituksen puheenjohtaja, Joensuu
Lappalainen, Timo Antero, toimitusjohtaja, Kauniainen
Lehmuskallio, Väinö Sakari, pääsihteeri, Imatra
Leppiniemi, Jarmo Tapani Albert, hallituksen puheenjohtaja, Helsinki
Lindqvist, Lars-Johan, professor, Vasa
Mahlamäki, Rainer, professori, Helsinki
Mattila, Veli-Matti Johannes, toimitusjohtaja, Helsinki
Mattinen, Jorma Kalervo, rektor, Åbo
Nenonen, Erkki Olavi, hovioikeudenlaamanni, Rovaniemi
Niinioja, Markku Hugo Tapani, suurlähettiläs, Helsinki
Pekkala, Yrjö Juhani, toimitusjohtaja, Helsinki
Ravi, Pekka Tapani, kaupunkineuvos, Joensuu
Resch, Riitta Hannele, suurlähettiläs, Helsinki
Rönnholm, Mikko Armas, toimitusjohtaja, Naantali
Sakslin, Maija Kaarina, apulaisoikeusasiamies, Sipoo
Somma, Kaarlo Ossian, kuvanveistäjä, Nokia
Tiuraniemi, Riitta, toimitusjohtaja, Helsinki
Tuominen, Hilkka Liisa Anneli, Finanssivalvonnan johtaja, Espoo
Westphalen, Berit Kirsti Kaarina, suurlähettiläs, Helsinki Bangkok
Suomen Valkoisen Ruusun I luokan ritarimerkki / Riddartecknet av I klass av Finlands Vita Ros orden 
Aarnio, Pertti Toivo Tapani, kirurgian professori, Pori
Aho, Lasse Tom Sakari, toimitusjohtaja, Iisalmi
Ahonen, Guy Stefan, toiminta-alueen johtaja, Espoo
Alaluusua, Airi Satu Kaarina, professori, Helsinki
Arpiainen, Kaija Elina, johtava hallintovouti, Helsinki
Damski, Pekka Juhani, johtaja, Vantaa
Erkkola, Kari Julius, kirkkoherra, Pori
Fjäder, Sture Roger, Akava ry:n puheenjohtaja, Helsinki
Franck, Thomas Gustaf, toimitusjohtaja, Helsinki
Frisk, Jarl Mikael, Senior Vice President, Kauniainen
Frände, Dan Gustaf, professor, Helsingfors
Gärdström, Keijo Erik, kirkkoherra, Kouvola
Haapajoki, Väinö Ilmari, varatuomari, Espoo
Hakkila, Marjo Hannele, valiokuntaneuvos, Helsinki
Halijoki, Juha Ilari, hovioikeudenneuvos, Nurmes
Halttunen, Jouko Elias, professori, Tampere
Harisalo, Risto Väinö, professori, Kangasala
Helynen, Satu Anneli, teknologiajohtaja, Kangasniemi
Hirvi, Timo Kalle Tapani, ylijohtaja, Helsinki
Hirvonen, Jouni Tapio, professori, Helsinki
Honkanen-Buzalski, Tuula Kristiina, osastonjohtaja, Helsinki
Hämäläinen, Jorma Kalervo, Senior Business Manager, Vantaa
Hänninen, Osmo Juhani, hovioikeudenneuvos, Vaasa
Härkönen, Pirkko Liisa, solubiologian professori, Turku
